"LEVEES
DE FONDS",DATE,"LIEN VERS
ANNUAIRE","LIEN VERS SITE
INTERNET"
G2 MOBILITY lève 2 millions d'euros auprès d'investisseurs,01/05/2014,G2 MOBILITY,G2 MOBILITY
IDEALWINE.COM lève 2 millions d'euros auprès d'investisseurs,01/05/2014,IDEALWINE.COM,IDEALWINE.COM
ZEEPRO lève 1 million d'euros auprès de BREEGA CAPITAL,01/05/2014,ZEEPRO,
"SMARTANGELS lève 1 million d'euros auprès de BUSINESS ANGELS, XANGE, IDINVEST, ELAIA PARTNERS",01/04/2014,SMARTANGELS,SMARTANGELS
"CHAMBREALOUER lève 1 million d'euros auprès de ALLIANCE ENTREPRENDRE, SIGMA",01/04/2014,CHAMBREALOUER,CHAMBREALOUER
WEBSHELL lève 200 000 euros auprès d'investisseurs,01/04/2014,WEBSHELL,WEBSHELL
WECOOK lève 400 000 euros auprès de FRCI,01/04/2014,WECOOK,WECOOK
LES PETITS FRENCHIES lève 300 000 euros auprès de BUSINESS ANGELS,01/04/2014,LES PETITS FRENCHIES,LES PETITS FRENCHIES
NENUPHAR lève 15 millions d'euros auprès d'investisseurs,01/04/2014,NENUPHAR,NENUPHAR
"SUNPARTNER lève 9,8 millions d'euros auprès d'investisseurs",01/04/2014,SUNPARTNER,SUNPARTNER
"LENDING CLUB lève 103,5 millions d'euros auprès d'investisseurs",01/04/2014,LENDING CLUB,LENDING CLUB
ALLOMEDIA lève 500 000 euros auprès de KIMA VENTURES,01/04/2014,ALLOMEDIA,ALLOMEDIA
AWOX lève 25 millions d'euros auprès de BOURSE,01/04/2014,AWOX,AWOX
ILOKYOU lève 465 000 euros auprès de BUSINESS ANGELS,01/04/2014,ILOKYOU,ILOKYOU
"CORTUS lève 2,5 millions d'euros auprès d'investisseurs",01/04/2014,CORTUS,CORTUS
"GALOO lève 600 000 euros auprès de ALUMNI BUSINESS ANGELS, PACA INVESTISSEMENT",01/04/2014,GALOO,GALOO
MOBYPARK lève 600 000 euros auprès de BUSINESS ANGELS,01/04/2014,MOBYPARK,MOBYPARK
SUPERSONIC IMAGINE lève 15 millions d'euros auprès d'investisseurs,01/04/2014,SUPERSONIC IMAGINE,SUPERSONIC IMAGINE
ARTSPER lève 305 000 euros auprès de FUNDME,01/04/2014,ARTSPER,ARTSPER
E-LOUE lève 2 millions d'euros auprès de 5M VENTURES,01/04/2014,E-LOUE,E-LOUE
E-LOUE lève des fonds en media for equity auprès de 5M VENTURES,01/04/2014,E-LOUE,E-LOUE
"AVIS VERIFIES et NET REVIEWS lève 2 millions d'euros auprès de NETANGELS, MIDI CAPITAL",01/04/2014,AVIS VERIFIES et NET REVIEWS,AVIS VERIFIES et NET REVIEWS
CLICK & BOAT lève 200 000 euros auprès de BUSINESS ANGELS,01/04/2014,CLICK & BOAT,CLICK & BOAT
SAILSHARING lève 150 000 euros auprès de ANAXAGO,01/04/2014,SAILSHARING,SAILSHARING
MY SCIENCE WORK lève 990 000 euros auprès d'investisseurs,01/04/2014,MY SCIENCE WORK,MY SCIENCE WORK
INOTREM lève 18 millions d'euros auprès d'investisseurs,01/04/2014,INOTREM,
MAGICEVENT lève 500 000 euros auprès de BUSINESS ANGELS,01/04/2014,MAGICEVENT,MAGICEVENT
"MATOOMA lève 1 million d'euros auprès de CREDIT AGRICOLE, SORIDEC",01/04/2014,MATOOMA,MATOOMA
COURS AVENUE lève 120 000 euros auprès d'investisseurs,01/04/2014,COURS AVENUE,COURS AVENUE
CREADS lève 3 millions d'euros auprès de CM CIC,01/04/2014,CREADS,CREADS
CAPDECISIF MANAGEMENT lève 45 millions d'euros auprès d'investisseurs,01/04/2014,CAPDECISIF MANAGEMENT,CAPDECISIF MANAGEMENT
ENOVACOM lève des fonds auprès d'investisseurs,01/04/2014,ENOVACOM,ENOVACOM
"SHOPTIMISE lève 3,5 millions d'euros auprès d'investisseurs",01/04/2014,SHOPTIMISE,SHOPTIMISE
"VOLUNTIS lève 20 millions d'euros auprès de CAPDECISIF MANAGEMENT, CM CIC",01/04/2014,VOLUNTIS,VOLUNTIS
"WEBINTERPRET lève 5 millions d'euros auprès de SEVENTURE, CM CIC",01/04/2014,WEBINTERPRET,WEBINTERPRET
"TAPVALUE lève 1,6 million d'euros auprès d'investisseurs",01/03/2014,TAPVALUE,TAPVALUE
"THE COSMO COMPANY lève 3,8 millions d'euros auprès d'investisseurs",01/03/2014,THE COSMO COMPANY,THE COSMO COMPANY
"RESTOFLASH et OCTOPLUS lève 1,25 million d'euros auprès de BUSINESS ANGELS",01/03/2014,RESTOFLASH et OCTOPLUS,RESTOFLASH et OCTOPLUS
"COOK ANGELS lève 315 000 euros auprès de BUSINESS ANGELS, ELAIA PARTNERS",01/03/2014,COOK ANGELS,COOK ANGELS
PHENIX lève 2 millions d'euros auprès de AUDACIA,01/03/2014,PHENIX,PHENIX
"UNILEND lève 1 million d'euros auprès de VENTECH, 360 CAPITAL, BPIFRANCE",01/03/2014,UNILEND,UNILEND
AXIATEL lève 400 000 euros auprès d'investisseurs,01/03/2014,AXIATEL,AXIATEL
"MAILJET lève 2,2 millions d'euros auprès de ALVEN",01/03/2014,MAILJET,MAILJET
AGORA ENERGY lève 260 000 euros auprès de INVESTESSOR,01/03/2014,AGORA ENERGY,AGORA ENERGY
MCPHY ENERGY lève 32 millions d'euros auprès d'investisseurs,01/03/2014,MCPHY ENERGY,MCPHY ENERGY
HOLOSFIND lève 330 000 euros auprès d'investisseurs,01/03/2014,HOLOSFIND,
"KONTEST lève 600 000 euros auprès de BUSINESS ANGELS, 3T CAPITAL",01/03/2014,KONTEST,KONTEST
SYNTHESIO lève 14 millions d'euros auprès de IDINVEST,01/03/2014,SYNTHESIO,SYNTHESIO
"I-TEN lève 3,2 millions d'euros auprès d'investisseurs",01/03/2014,I-TEN,I-TEN
BLITZR lève 412 000 euros auprès d'investisseurs,01/03/2014,BLITZR,BLITZR
"PROTIP MEDICAL lève 5,8 millions d'euros auprès d'investisseurs",01/03/2014,PROTIP MEDICAL,PROTIP MEDICAL
"YELLOWKORNER lève 2,5 millions d'euros auprès de AUDACIA",01/03/2014,YELLOWKORNER,YELLOWKORNER
MONSIEURDRIVE lève 2 millions d'euros auprès d'investisseurs,01/03/2014,MONSIEURDRIVE,MONSIEURDRIVE
"PRESTASHOP lève 6,75 millions d'euros auprès de XANGE, SEVENTURE, SERENA",01/03/2014,PRESTASHOP,PRESTASHOP
"VERYLASTROOM lève 1,5 million d'euros auprès de A PLUS FINANCE, SIGMA",01/03/2014,VERYLASTROOM,VERYLASTROOM
"YNSECT lève 1,8 million d'euros auprès de BUSINESS ANGELS",01/03/2014,YNSECT,YNSECT
"LINKFLUENCE lève 3 millions d'euros auprès de BANEXI, ORKOS, SIGMA",01/03/2014,LINKFLUENCE,LINKFLUENCE
"SIGFOX lève 15 millions d'euros auprès de IXO, IDINVEST, PARTECH, BPIFRANCE, ELAIA PARTNERS",01/03/2014,SIGFOX,SIGFOX
"SIMPLIFIELD lève 350 000 euros auprès de BUSINESS ANGELS, KIMA VENTURES",01/03/2014,SIMPLIFIELD,SIMPLIFIELD
ROBOLUTION CAPITAL lève 80 millions d'euros auprès d'investisseurs,01/03/2014,ROBOLUTION CAPITAL,ROBOLUTION CAPITAL
"1001PHARMACIES lève 2 millions d'euros auprès de BUSINESS ANGELS, BPIFRANCE",01/03/2014,1001PHARMACIES,1001PHARMACIES
"GAMAMABS PHARMA lève 1,1 million d'euros auprès d'investisseurs",01/03/2014,GAMAMABS PHARMA,GAMAMABS PHARMA
EOS INNOVATION lève 1 million d'euros auprès d'investisseurs,01/03/2014,EOS INNOVATION,EOS INNOVATION
LEETCHI lève des fonds auprès de 360 CAPITAL,01/03/2014,LEETCHI,LEETCHI
"OXATIS lève 3,5 millions d'euros auprès d'investisseurs",01/03/2014,OXATIS,OXATIS
"AIRINOV lève 1,6 million d'euros auprès d'investisseurs",01/02/2014,AIRINOV,AIRINOV
IN2BONES lève 3 millions d'euros auprès d'investisseurs,01/02/2014,IN2BONES,IN2BONES
"IJENKO lève 2,6 millions d'euros auprès d'investisseurs",01/02/2014,IJENKO,IJENKO
MOBILITY TECH GREEN lève 300 000 euros auprès d'investisseurs,01/02/2014,MOBILITY TECH GREEN,MOBILITY TECH GREEN
"NEWZULU et CITIZENSIDE lève 10,35 millions d'euros auprès de BUSINESS ANGELS, AFP AGENCE FRANCE PRESSE",01/02/2014,NEWZULU et CITIZENSIDE,NEWZULU et CITIZENSIDE
PRET A CHANGER et EXCAMBIA lève 600 000 euros auprès de XANGE,01/02/2014,PRET A CHANGER et EXCAMBIA,PRET A CHANGER et EXCAMBIA
MICROPHYT lève 2 millions d'euros auprès d'investisseurs,01/02/2014,MICROPHYT,MICROPHYT
GENMYMODEL lève 500 000 euros auprès d'investisseurs,01/02/2014,GENMYMODEL,GENMYMODEL
EASYRECRUE lève 500 000 euros auprès de BUSINESS ANGELS,01/02/2014,EASYRECRUE,EASYRECRUE
"SALEZEO lève 1,5 million d'euros auprès de NEWFUND",01/02/2014,SALEZEO,SALEZEO
"STEP-IN lève 600 000 euros auprès de BUSINESS ANGELS, PARIS BUSINESS ANGELS",01/02/2014,STEP-IN,STEP-IN
CROSSJECT lève 17 millions d'euros auprès de BOURSE,01/02/2014,CROSSJECT,CROSSJECT
ENNESYS lève 300 000 euros auprès de WISEED,01/02/2014,ENNESYS,ENNESYS
ECOAT lève 1 million d'euros auprès d'investisseurs,01/02/2014,ECOAT,ECOAT
LOCALISMARKET et ORION NETWORK lève 210 000 euros auprès de BUSINESS ANGELS,01/02/2014,LOCALISMARKET et ORION NETWORK,LOCALISMARKET et ORION NETWORK
NOREVE lève 350 000 euros auprès d'investisseurs,01/02/2014,NOREVE,
RHENOVIA PHARMA lève 500 000 euros auprès d'investisseurs,01/02/2014,RHENOVIA PHARMA,RHENOVIA PHARMA
"FOOTEO lève 1,5 million d'euros auprès de ALTO INVEST",01/02/2014,FOOTEO,FOOTEO
INNORTEX lève 260 000 euros auprès d'investisseurs,01/02/2014,INNORTEX,INNORTEX
BENDNOTE lève 150 000 euros auprès de BUSINESS ANGELS,01/02/2014,BENDNOTE,BENDNOTE
CYCLORAMIC lève 450 000 euros auprès d'investisseurs,01/02/2014,CYCLORAMIC,
PREDICSIS lève 1 million d'euros auprès d'investisseurs,01/02/2014,PREDICSIS,PREDICSIS
DOCTOLIB lève 1 million d'euros auprès de BUSINESS ANGELS,01/02/2014,DOCTOLIB,DOCTOLIB
MAZEBERRY lève 200 000 euros auprès d'investisseurs,01/02/2014,MAZEBERRY,MAZEBERRY
"WISEMBLY lève 1,5 million d'euros auprès d'investisseurs",01/02/2014,WISEMBLY,WISEMBLY
LYMO lève 500 000 euros auprès de WISEED,01/02/2014,LYMO,LYMO
BIG MOUSTACHE lève 290 000 euros auprès de ANAXAGO,01/02/2014,BIG MOUSTACHE,BIG MOUSTACHE
GRAINE DE PASTEL lève 1 million d'euros auprès de AUDACIA,01/02/2014,GRAINE DE PASTEL,GRAINE DE PASTEL
"MONECHELLE lève 150 000 euros auprès de BUSINESS ANGELS, CM CIC",01/02/2014,MONECHELLE,MONECHELLE
OPENCLASSROOMS et SIMPLE IT et SITE DU ZERO lève 1 million d'euros auprès de ALVEN,01/02/2014,OPENCLASSROOMS et SIMPLE IT et SITE DU ZERO,OPENCLASSROOMS et SIMPLE IT et SITE DU ZERO
OUICAR et ZILOK AUTO lève 3 millions d'euros auprès d'investisseurs,01/02/2014,OUICAR et ZILOK AUTO,OUICAR et ZILOK AUTO
"VOXEET lève 1,35 million d'euros auprès d'investisseurs",01/01/2014,VOXEET,VOXEET
CLICKON lève 300 000 euros auprès de BUSINESS ANGELS,01/01/2014,CLICKON,CLICKON
"ALLTRICKS lève 2,9 millions d'euros auprès de BUSINESS ANGELS, PARTECH",01/01/2014,ALLTRICKS,ALLTRICKS
MOBYPARK lève 100 000 euros auprès de BUSINESS ANGELS,01/01/2014,MOBYPARK,MOBYPARK
HEADOO lève 360 000 euros auprès d'investisseurs,01/01/2014,HEADOO,HEADOO
LOCALEYES lève 300 000 euros auprès de BUSINESS ANGELS,01/01/2014,LOCALEYES,LOCALEYES
"SILLAGE lève 360 000 euros auprès de NESTADIO, KIMA VENTURES",01/01/2014,SILLAGE,SILLAGE
"SEFAIREAIDER.COM lève 4,3 millions d'euros auprès de BUSINESS ANGELS, PACA INVESTISSEMENT, KIMA VENTURES",01/01/2014,SEFAIREAIDER.COM,SEFAIREAIDER.COM
"VODKASTER lève 1,2 million d'euros auprès d'investisseurs",01/01/2014,VODKASTER,VODKASTER
"WEEZIC lève 750 000 euros auprès de FEMMES BUSINESS ANGELS, INVESTESSOR",01/01/2014,WEEZIC,WEEZIC
YOUMIAM lève 300 000 euros auprès de BUSINESS ANGELS,01/01/2014,YOUMIAM,YOUMIAM
"EVANEOS lève 4,4 millions d'euros auprès de XANGE, ISAI",01/01/2014,EVANEOS,EVANEOS
SANTEMOINSCHERE lève 400 000 euros auprès d'investisseurs,01/01/2014,SANTEMOINSCHERE,SANTEMOINSCHERE
DRIVE lève 2 millions d'euros auprès d'investisseurs,01/01/2014,DRIVE,DRIVE
LE BON COTE DES CHOSES lève 300 000 euros auprès de ANAXAGO,01/01/2014,LE BON COTE DES CHOSES,LE BON COTE DES CHOSES
MEMO.FR lève 600 000 euros auprès de BUSINESS ANGELS,01/01/2014,MEMO.FR,MEMO.FR
ISOGEO lève 1 million d'euros auprès d'investisseurs,01/01/2014,ISOGEO,ISOGEO
WHYD lève 630 000 euros auprès de BUSINESS ANGELS,01/01/2014,WHYD,WHYD
"MINDIE lève 1,2 million d'euros auprès de BUSINESS ANGELS",01/01/2014,MINDIE,MINDIE
"NETEVEN lève 3,6 millions d'euros auprès d'investisseurs",01/01/2014,NETEVEN,NETEVEN
"NUMERICABLE et SFR lève 8,8 milliards d'euros auprès de PARIS BUSINESS ANGELS",01/01/2014,NUMERICABLE et SFR,NUMERICABLE et SFR
ONOFF APP lève 1 million d'euros auprès d'investisseurs,01/01/2014,ONOFF APP,ONOFF APP
SYSFERA lève 111 720 euros auprès de SAVOIE ANGELS,01/01/2014,SYSFERA,SYSFERA
"VEXIM lève 11,8 millions d'euros auprès de BPIFRANCE",01/01/2014,VEXIM,VEXIM
WELIKESTARTUP lève des fonds auprès de INVESTESSOR,01/01/2014,WELIKESTARTUP,WELIKESTARTUP
"HAPPN lève 12,5 millions d'euros auprès de IDINVEST PARTNERS, ALVEN CAPITAL, RAINE VENTURES, DN CAPITAL, BUSINESS ANGELS","octobre
2015",HAPPN,HAPPN
INCUBATEUR NUMA PARIS lève 3 millions d'euros auprès de MAIF AVENIR,"septembre
2015",INCUBATEUR NUMA PARIS,INCUBATEUR NUMA PARIS
"MAGICEVENT lève 1,5 million d'euros auprès de BPIFRANCE, BUSINESS ANGELS","septembre
2015",MAGICEVENT,MAGICEVENT
"ALCUIN lève 1,89 million euros auprès d'investisseurs","septembre
2015",ALCUIN,ALCUIN
CITYGOO lève 300 000 euros auprès d'investisseurs,"septembre
2015",CITYGOO,CITYGOO
DEXSTR lève 300 000 euros auprès d'investisseurs,"septembre
2015",DEXSTR,DEXSTR
"ENERTIME lève 1,3 million d'euros auprès de CALAO FINANCE, SIPAREX","septembre
2015",ENERTIME,ENERTIME
FIBERCRYST lève 1 million euros auprès d'investisseurs,"septembre
2015",FIBERCRYST,FIBERCRYST
"FLASHGAP lève 1,5 million euros auprès d'investisseurs","septembre
2015",FLASHGAP,FLASHGAP
"IADVIZE lève 14 millions d'euros auprès de ALVEN CAPITAL, IRIS CAPITAL, BPIFRANCE","septembre
2015",IADVIZE,IADVIZE
INTESENS lève 800 000 euros auprès d'investisseurs,"septembre
2015",INTESENS,INTESENS
KOOBER lève 200 000 euros auprès d'investisseurs,"septembre
2015",KOOBER,KOOBER
LEETCHI lève 10 millions euros auprès d'investisseurs,"septembre
2015",LEETCHI,LEETCHI
"MESDEPANNEURS lève 1,7 million euros auprès d'investisseurs","septembre
2015",MESDEPANNEURS,MESDEPANNEURS
MONPOTAGER.COM lève 300 000 euros auprès de WISEED,"septembre
2015",MONPOTAGER.COM,MONPOTAGER.COM
NUUKIK lève 700 000 euros auprès d'investisseurs,"septembre
2015",NUUKIK,NUUKIK
PANDACRAFT lève 1 million euros auprès d'investisseurs,"septembre
2015",PANDACRAFT,PANDACRAFT
PROACTIVE ACADEMY lève 200 000 euros auprès d'investisseurs,"septembre
2015",PROACTIVE,PROACTIVE ACADEMY
"UNIQUESOUND lève 880 000 euros auprès de ISAI, FELIX CAPITAL, FOUNDRY GROUP ANGELS, BUSINESS ANGELS","septembre
2015",UNIQUESOUND,UNIQUESOUND
YSANCE lève 5 millions d'euros auprès de CREADEV,"septembre
2015",YSANCE,YSANCE
"COVOITURAGE.FR et COMUTO et BLABLACAR lève 180 millions d'euros auprès de INSIGHT VENTURE PARTNERS, LEAD EDGE CAPITAL, VOSTOK NEW VENTURES","septembre
2015",COVOITURAGE.FR et COMUTO et BLABLACAR,COVOITURAGE.FR et COMUTO et BLABLACAR
"FOODCHERI lève 1 million d'euros auprès de BREEGA CAPITAL, IMPALA, BUSINESS ANGELS","septembre
2015",FOODCHERI,FOODCHERI
"VULOG lève 8,4 millions d'euros auprès de BPIFRANCE, ENVIRONMENTAL TECHNOLOGIES FUND","septembre
2015",VULOG,VULOG
"SENIORADOM lève des fonds auprès de OMNES CAPITAL, 123 VENTURE, SEB ALLIANCE, AG2R","septembre
2015",SENIORADOM,SENIORADOM
WAYZ-UP lève des fonds auprès de MOBIVIA GROUP,"septembre
2015",WAYZ-UP,WAYZ-UP
AIR.DOC lève 100 000 euros auprès de BUSINESS ANGELS,"septembre
2015",AIR.DOC,AIR.DOC
"ALLOMEDIA lève 740 000 euros auprès de BPIFRANCE, BUSINESS ANGELS","septembre
2015",ALLOMEDIA,ALLOMEDIA
AR2I lève 1 million euros auprès d'investisseurs,"septembre
2015",AR2I,AR2I
"COMPTE NICKEL et FINANCIERE DES PAIEMENTS ELECTRONIQUE lève 10,2 millions d'euros auprès de PARTECH VENTURES, FINANCIERE IDAC, CONFEDERATION DES BURALISTES DE France, HGDLMA","septembre
2015",COMPTE NICKEL et FINANCIERE DES PAIEMENTS ELECTRONIQUE,COMPTE NICKEL et FINANCIERE DES PAIEMENTS ELECTRONIQUE
CREATIVE DATA lève 850 000 euros auprès d'investisseurs,"septembre
2015",CREATIVE DATA,CREATIVE DATA
"GEOLID lève 10 millions d'euros auprès de TIME FOR GROWTH, HI INNOV, A PLUS FINANCE, BPIFRANCE","septembre
2015",GEOLID,GEOLID
LES GRAPPES lève 700 000 euros auprès de BUSINESS ANGELS,"septembre
2015",LES GRAPPES,LES GRAPPES
LUMICENE lève 630 000 euros auprès d'investisseurs,"septembre
2015",LUMICENE,LUMICENE
MARBOTIC lève 250 000 euros auprès d'investisseurs,"septembre
2015",MARBOTIC,MARBOTIC
"MITRICARES lève 2,2 millions d'euros auprès de GO CAPITAL, CAPDECISIF MANAGEMENT, CM-CIC INVESTISSEMENT","septembre
2015",MITRICARES,
OSMIA lève 500 000 euros auprès d'investisseurs,"septembre
2015",OSMIA,OSMIA
SKWARE lève 500 000 euros auprès d'investisseurs,"septembre
2015",SKWARE,SKWARE
UPLUST lève des fonds,"septembre
2015",UPLUST,UPLUST
YURPLAN lève 300 000 euros auprès d'investisseurs,"septembre
2015",YURPLAN,YURPLAN
"DEEPOMATIC lève 1,2 million d'euros auprès de ALVEN CAPITAL, BUSINESS ANGELS","septembre
2015",DEEPOMATIC,DEEPOMATIC
"KUDOZ lève 1,2 million d'euros auprès de SCHIBSTED MEDIA GROUP","septembre
2015",KUDOZ,KUDOZ
"LIVEMENTOR et HELLO MENTOR et LEARNING SHELTER lève 900 000 euros auprès de ISAI, BUSINESS ANGELS","septembre
2015",LIVEMENTOR et HELLO MENTOR et LEARNING SHELTER,LIVEMENTOR et HELLO MENTOR et LEARNING SHELTER
OMMI lève 310 000 euros auprès de LANCEA CAPITAL,"septembre
2015",OMMI,OMMI
"PAYNAME lève 5 millions d'euros auprès de MAIF, BPIFRANCE, LA DEPECHE DU MIDI, REGION MIDI PYRENEES","septembre
2015",PAYNAME,PAYNAME
"AZENDOO lève 1,325 million d'euros auprès de THE FAMILY","septembre
2015",AZENDOO,AZENDOO
"FREEMO lève 200 000 euros auprès de THIERRY IMMOBILIER, BUSINESS ANGELS","septembre
2015",FREEMO,FREEMO
"SAVE MY SMARTPHONE lève 15 millions d'euros auprès de IDINVEST, 360 CAPITAL PARTNERS, BUSINESS ANGELS","septembre
2015",SAVE MY SMARTPHONE,SAVE MY SMARTPHONE
NODEA MEDICAL lève 2 millions d'euros auprès d'investisseurs,"septembre
2015",NODEA MEDICAL,NODEA MEDICAL
"CBIEN lève 1,4 million d'euros auprès de MAIF, SFEREN INNOVATION, COVEA NEXT, BPIFRANCE","septembre
2015",CBIEN,CBIEN
"PAYMIUM lève 1 million d'euros auprès de KIMA VENTURES, NEWFUND, GALITT, BUSINESS ANGELS","septembre
2015",PAYMIUM,PAYMIUM
"VESTIAIRE COLLECTIVE lève 33 millions d'euros auprès de EURAZEO, BALDERTON CAPITAL, CONDE NAST, VENTECH, IDINVEST","septembre
2015",VESTIAIRE COLLECTIVE,VESTIAIRE COLLECTIVE
"CHICTYPES lève 4 millions d'euros auprès de 360 CAPITAL PARTNERS, KERNEL, BUSINESS ANGELS","septembre
2015",CHICTYPES,CHICTYPES
"LENGOW lève 10 millions d'euros auprès de SERENA CAPITAL, ALVEN CAPITAL, BPIFRANCE","septembre
2015",LENGOW,LENGOW
AIR INDEMNITE lève 700 000 euros auprès d'investisseurs,"septembre
2015",AIR INDEMNITE,AIR INDEMNITE
BANDSQUARE lève 265 000 euros auprès d'investisseurs,"septembre
2015",BANDSQUARE,BANDSQUARE
"BIOM'UP lève 31,3 millions d'euros auprès d'investisseurs","septembre
2015",BIOM'UP,BIOM'UP
BIRDLY lève 312 000 euros auprès d'investisseurs,"septembre
2015",BIRDLY,BIRDLY
BOOXUP lève 300 000 euros auprès d'investisseurs,"septembre
2015",BOOXUP,BOOXUP
"BUREO et ADMI lève 1,4 million d'euros auprès d'investisseurs","septembre
2015",BUREO et ADMI,BUREO et ADMI
"CONNECTHINGS lève 9,5 millions d'euros auprès d'investisseurs","septembre
2015",CONNECTHINGS,CONNECTHINGS
CONTEXTOR lève 600 000 euros auprès d'investisseurs,"septembre
2015",CONTEXTOR,CONTEXTOR
CONZTANZ lève 2 millions d'euros auprès d'investisseurs,"septembre
2015",CONZTANZ,CONZTANZ
COOK ANGELS lève 523 000 euros auprès de SMARTANGELS,"septembre
2015",COOK ANGELS,COOK ANGELS
CRAZY VOYAGES lève 600 000 euros auprès d'investisseurs,"septembre
2015",CRAZY VOYAGES,CRAZY VOYAGES
DAYUSE lève des fonds auprès d'investisseurs,"septembre
2015",DAYUSE,DAYUSE
"ERGOSUP lève 5,2 millions d'euros auprès d'investisseurs","septembre
2015",ERGOSUP,ERGOSUP
GUSTAVE & ROSALIE lève 507 000 euros auprès de SMARTANGELS,"septembre
2015",GUSTAVE & ROSALIE,GUSTAVE & ROSALIE
"HORIZONTAL SOFTWARE lève 1,3 million d'euros auprès d'investisseurs","septembre
2015",HORIZONTAL SOFTWARE,HORIZONTAL SOFTWARE
IKIMO9 lève des fonds auprès d'investisseurs,"septembre
2015",IKIMO9,IKIMO9
KOKOROE et IKNOWUWILL lève 250 000 euros auprès d'investisseurs,"septembre
2015",KOKOROE et IKNOWUWILL,KOKOROE et IKNOWUWILL
MR GABRIEL et VPROJECT lève 590 000 euros auprès d'investisseurs,"septembre
2015",MR GABRIEL,MR GABRIEL et VPROJECT
"NUTRIONIX lève 1,5 million d'euros auprès d'investisseurs","septembre
2015",NUTRIONIX,NUTRIONIX
OPTIWAYS PADAMBUS lève 500 000 euros auprès d'investisseurs,"septembre
2015",OPTIWAYS PADAMBUS,OPTIWAYS PADAMBUS
OXILIA lève des fonds auprès d'investisseurs,"septembre
2015",OXILIA,OXILIA
QUADRAN lève 45 millions d'euros auprès d'investisseurs,"septembre
2015",QUADRAN,QUADRAN
RETENCY lève 5 millions d'euros auprès d'investisseurs,"septembre
2015",RETENCY,RETENCY
SIMPLEBO lève 500 000 euros auprès d'investisseurs,"septembre
2015",SIMPLEBO,SIMPLEBO
SOLAIRE BOX lève 150 000 euros auprès d'investisseurs,"septembre
2015",SOLAIRE BOX,SOLAIRE BOX
SOS ACCESSOIRE lève 1 million d'euros auprès d'investisseurs,"septembre
2015",SOS ACCESSOIRE,SOS ACCESSOIRE
SUNTRADE TRAVEL lève 2 millions d'euros auprès d'investisseurs,"septembre
2015",SUNTRADE TRAVEL,SUNTRADE TRAVEL
"SYNCHRONE TECHNOLOGIES lève 30 millions d'euros auprès de SIPAREX, BPIFFRANCE","septembre
2015",SYNCHRONE TECHNOLOGIES,SYNCHRONE TECHNOLOGIES
"TAKE EAT EASY lève 10 millions d'euros auprès de EIGHT ROADS VENTURES, ROCKET INTERNET, DN CAPITAL, PITON CAPITAL","septembre
2015",TAKE EAT EASY,TAKE EAT EASY
TARGET2SELL lève 1 million d'euros auprès d'investisseurs,"septembre
2015",TARGET2SELL,TARGET2SELL
TRIBER lève 300 000 euros auprès d'investisseurs,"septembre
2015",TRIBER,TRIBER
WEENOV lève 200 000 euros auprès d'investisseurs,"septembre
2015",WEENOV,WEENOV
WEMOMS lève 600 000 euros auprès d'investisseurs,"septembre
2015",WEMOMS,WEMOMS
WIRATE lève 100 000 euros auprès d'investisseurs,"septembre
2015",WIRATE,WIRATE
THANK YOU MOTION lève 335 000 euros auprès de BA,"aout
2015",THANK YOU MOTION,THANK YOU MOTION
PEOPLBRAIN lève 700 000 euros auprès d'investisseurs,"aout
2015",PEOPLBRAIN,PEOPLBRAIN
TRIPCONNEXION lève 250 000 euros auprès de AB FUNDING,"aout
2015",TRIPCONNEXION,TRIPCONNEXION
MAPSTR lève 710 000 euros auprès de BA,"aout
2015",MAPSTR,MAPSTR
EASYPROPRIETAIRE et DIGITALIB lève 600 000 euros auprès de AXA STRATEGIC VENTURES,"aout
2015",EASYPROPRIETAIRE,EASYPROPRIETAIRE et DIGITALIB
BOBLER et LIPP.IO lève 500 000 euros auprès d'investisseurs,"aout
2015",BOBLER et LIPP.IO,BOBLER et LIPP.IO
LES ARGONAUTES lève 835 000 euros auprès de ARKEON FINANCE,"aout
2015",LES ARGONAUTES,LES ARGONAUTES
MYROOMIN lève 800 000 euros auprès de IMPALA,"aout
2015",MYROOMIN,MYROOMIN
"NOVATIM lève 2,5 millions d'euros auprès de CM CIC CAPITAL PRIVE","aout
2015",NOVATIM,NOVATIM
JULIE DESK lève 200 000 euros auprès de BUSINESS ANGELS,"juillet
2015","JULIE
DESK",JULIE DESK
MAPPING CONTROL lève 2 millions d'euros auprès de PACA INVESTISSEMENT,"juillet
2015",MAPPING CONTROL,MAPPING CONTROL
"PRET D'UNION lève 31 millions d'euros auprès de EURAZEO, CREDIT MUTUEL ARKEA, KIMA VENTURES","juillet
2015",PRET D'UNION,PRET D'UNION
"1001PHARMACIES lève 8 millions d'euros auprès de NEWFUND, CM-CIC CAPITAL PRIVE, BUSINESS ANGELS","juillet
2015",1001PHARMACIES,1001PHARMACIES
365C lève 400 000 euros auprès de SERENA CAPITAL,"juillet
2015",365C,365C
"A-VOLUTE lève 1,7 million d'euros auprès de PARIS ANGELS CAPITAL, NORD France AMORCAGE, NORD CREATION, BUSINESS ANGELS","juillet
2015",A-VOLUTE,A-VOLUTE
ADCLEEK lève 500 000 euros auprès de BUSINESS ANGELS,"juillet
2015",ADCLEEK,ADCLEEK
